

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
  509   10.160   2960.60     2.8798     2.9587     3.1634     0.1161     0.6877     0.1939     4.0942           
  510   10.180   2961.65     2.9476     3.0347     3.2398     0.1190     0.7034     0.1957     4.0718           
  511   10.200   2962.65     2.9770     3.0744     3.2799     0.1267     0.7300     0.2014     4.2504           
  512   10.220   2963.67     2.9550     3.0494     3.2553     0.1274     0.7061     0.2010     4.3099           
  513   10.240   2964.69     2.9223     3.0191     3.2253     0.1254     0.7338     0.2050     4.2753           
  514   10.260   2965.69     2.8855     2.9786     3.1852     0.1215     0.6978     0.2051     4.2181           
  515   10.280   2966.81     2.8807     2.9754     3.1824     0.1171     0.7325     0.2069     4.0636           
  516   10.300   2967.82     2.8876     2.9936     3.2009     0.1166     0.7247     0.2148     4.0452           
  517   10.320   2968.93     2.8620     2.9611     3.1689     0.1129     0.7322     0.2119     3.9481           
  518   10.340   2970.02     2.7689     2.8676     3.0757     0.1098     0.7101     0.2187     3.9216           
  519   10.360   2970.99     2.7667     2.8551     3.0636     0.1052     0.7268     0.2113     3.7915           
  520   10.380   2972.04     2.7488     2.8362     3.0450     0.1092     0.7071     0.2121     3.9786           
  521   10.400   2973.07     2.7732     2.8708     3.0801     0.1125     0.7225     0.2183     4.0547           
  522   10.420   2974.10     2.8073     2.8979     3.1075     0.1157     0.7304     0.2107     4.1309           
  523   10.440   2975.19     2.8537     2.9474     3.1574     0.1206     0.6924     0.2099     4.2516           
  524   10.460   2976.26     2.9719     3.0422     3.2526     0.1287     0.6706     0.1853     4.3822           
  525   10.480   2977.38     3.0591     3.1400     3.3507     0.1363     0.6689     0.1878     4.5055           
  526   10.500   2978.44     3.1088     3.1535     3.3647     0.1408     0.5809     0.1599     4.5612           
  527   10.520   2979.49     3.1323     3.1622     3.3737     0.1386     0.5748     0.1485     4.4300           
  528   10.540   2980.51     3.0938     3.1196     3.3315     0.1393     0.5665     0.1476     4.4792           
  529   10.560   2981.49     3.0243     3.0520     3.2643     0.1358     0.5683     0.1526     4.4685           
  530   10.580   2982.56     2.9374     2.9850     3.1976     0.1249     0.6423     0.1722     4.2345           
  531   10.600   2983.60     2.8805     2.9203     3.1334     0.1143     0.5926     0.1698     3.9463           
  532   10.620   2984.68     2.8014     2.8462     3.0596     0.1027     0.6118     0.1787     3.6366           
  533   10.640   2985.76     2.7627     2.8055     3.0193     0.0976     0.6219     0.1799     3.5201           
  534   10.660   2986.83     2.6127     2.6702     2.8844     0.0918     0.6763     0.2024     3.4826           
  535   10.680   2987.88     2.5553     2.6347     2.8493     0.0868     0.7072     0.2251     3.4007           
  536   10.700   2988.93     2.6136     2.7128     2.9278     0.0833     0.7539     0.2363     3.1960           
  537   10.720   2989.93     2.6734     2.7767     2.9920     0.0818     0.7818     0.2346     3.0894           
  538   10.740   2991.04     2.6205     2.7415     2.9572     0.0767     0.8045     0.2532     2.8963           
  539   10.760   2992.21     2.5527     2.6785     2.8946     0.0732     0.8362     0.2638     2.8365           
  540   10.780   2993.32     2.4359     2.5845     2.8010     0.0684     0.8713     0.2947     2.7521           
  541   10.800   2994.43     2.3980     2.5659     2.7828     0.0666     0.9372     0.3149     2.7646           
  542   10.820   2995.60     2.4431     2.6355     2.8527     0.0694     0.9803     0.3290     2.8437           
  543   10.840   2996.67     2.6551     2.8489     3.0665     0.0762     0.9836     0.3060     2.9404           
  544   10.860   2997.93     3.2337     3.4244     3.6424     0.0887     0.9444     0.2528     2.9565           
  545   10.880   2999.06     4.1771     4.3265     4.5449     0.0988     0.7874     0.1792     2.6337           
  546   10.900   3000.24     5.4577     5.5230     5.7417     0.1067     0.6149     0.1034     2.1443           
  547   10.920   3001.13     6.7507     6.7100     6.9292     0.1134     0.0783     0.0478     1.8599           
  548   10.940   3002.25     7.7907     7.5868     7.8063     0.1218    -0.0108    -0.0095     1.6528           
  549   10.960   3003.26     8.1010     7.8622     8.0821     0.1384    -0.0958    -0.0197     1.7306           
  550   10.980   3004.66     8.6135     8.3515     8.5718     0.1470    -0.1016    -0.0251     1.7822           
  551   11.000   3005.57     9.1326     8.8675     9.0882     0.1438    -0.1080    -0.0243     1.6508           
  552   11.020   3006.88     9.8292     9.5484     9.7695     0.1281    -0.1560    -0.0264     1.3372           
  553   11.040   3007.59    10.2189     9.9258    10.1472     0.1116    -0.1747    -0.0283     1.1072           
  554   11.060   3008.38    10.7879    10.4872    10.7090     0.0977    -0.2027    -0.0285     0.9339           
  555   11.080   3009.30    11.4453    11.1347    11.3568     0.0803    -0.2100    -0.0289     0.7183           
  556   11.100   3010.38    11.9645    11.6536    11.8762     0.0636    -0.2067    -0.0276     0.5393           
  557   11.120   3011.54    12.1780    11.8699    12.0929     0.0650    -0.2021    -0.0264     0.5358           
  558   11.140   3012.49    12.3311    12.0232    12.2465     0.0747    -0.1980    -0.0260     0.6084           
  559   11.160   3013.60    12.5160    12.2099    12.4335     0.0848    -0.1958    -0.0252     0.6801           
  560   11.180   3014.52    12.7141    12.4083    12.6324     0.0888    -0.1931    -0.0247     0.7042           
  561   11.200   3015.58    13.0712    12.7659    12.9903     0.0828    -0.1927    -0.0239     0.6381           
  562   11.220   3016.52    13.5703    13.2636    13.4885     0.0783    -0.1975    -0.0232     0.5841           
  563   11.240   3017.57    14.1405    13.8296    14.0548     0.0761    -0.2075    -0.0229     0.5439           
  564   11.260   3018.52    14.6812    14.3670    14.5926     0.0799    -0.2132    -0.0225     0.5478           
  565   11.280   3019.60    15.2041    14.8875    15.1135     0.0879    -0.2161    -0.0221     0.5831           
  566   11.300   3020.65    15.7178    15.4004    15.6268     0.1006    -0.2181    -0.0214     0.6438           
  567   11.320   3021.81    16.2044    15.8838    16.1105     0.1070    -0.2247    -0.0212     0.6648           
  568   11.340   3022.82    16.5775    16.2556    16.4827     0.1044    -0.2250    -0.0209     0.6330           
  569   11.360   3023.97    16.9969    16.6749    16.9024     0.1021    -0.2259    -0.0203     0.6043           
  570   11.380   3024.93    17.2844    16.9612    17.1891     0.0988    -0.2333    -0.0201     0.5720           
  571   11.400   3026.00    17.4119    17.0798    17.3081     0.0912    -0.2529    -0.0211     0.5238           
  572   11.420   3027.10    17.4527    17.1153    17.3440     0.0883    -0.2603    -0.0218     0.5052           
  573   11.440   3028.18    17.1971    16.8569    17.0859     0.0892    -0.2668    -0.0225     0.5137           
  574   11.460   3029.25    16.6627    16.3201    16.5495     0.0867    -0.2706    -0.0235     0.5134           
  575   11.480   3030.43    15.9827    15.6383    15.8681     0.0815    -0.2745    -0.0248     0.5079           
  576   11.500   3031.43    15.1783    14.8318    15.0619     0.0781    -0.2787    -0.0264     0.4999           
  577   11.520   3032.42    14.2966    13.9478    14.1783     0.0787    -0.2839    -0.0285     0.5350           
  578   11.540   3033.38    13.7327    13.3813    13.6122     0.0828    -0.2869    -0.0301     0.5968           
  579   11.560   3034.42    13.1329    12.7808    13.0121     0.0888    -0.2885    -0.0316     0.6701           
  580   11.580   3035.43    12.5946    12.2411    12.4728     0.0950    -0.2908    -0.0332     0.7477           
  581   11.600   3036.52    12.2273    11.8727    12.1047     0.0964    -0.2924    -0.0344     0.7834           
  582   11.620   3037.57    12.0170    11.6620    11.8944     0.0822    -0.2921    -0.0350     0.6810           
  583   11.640   3038.69    11.9238    11.5681    11.8009     0.0703    -0.2931    -0.0354     0.5887           
  584   11.660   3039.76    11.8383    11.4812    11.7144     0.0665    -0.2959    -0.0358     0.5589           
  585   11.680   3040.78    11.8332    11.4747    11.7083     0.0713    -0.2976    -0.0361     0.6040           
  586   11.700   3041.82    11.9099    11.5510    11.7849     0.0769    -0.2976    -0.0359     0.6466           
  587   11.720   3042.83    11.9236    11.5644    11.7988     0.0684    -0.2971    -0.0358     0.5732           
  588   11.740   3043.88    11.8177    11.4582    11.6929     0.0651    -0.2976    -0.0362     0.5496           
  589   11.760   3044.97    11.6981    11.3380    11.5731     0.0626    -0.2975    -0.0366     0.5338           
  590   11.780   3046.04    11.6490    11.2883    11.5238     0.0621    -0.2990    -0.0369     0.5319           
  591   11.800   3047.15    11.6318    11.2692    11.5050     0.0622    -0.3033    -0.0372     0.5351           
  592   11.820   3048.26    11.6413    11.2775    11.5138     0.0608    -0.3035    -0.0374     0.5229           
  593   11.840   3049.28    11.7340    11.3699    11.6065     0.0643    -0.3033    -0.0371     0.5501           
  594   11.860   3050.32    11.8262    11.4617    11.6987     0.0683    -0.3047    -0.0368     0.5783           
  595   11.880   3051.38    11.9876    11.6214    11.8588     0.0823    -0.3070    -0.0366     0.6886           
  596   11.900   3052.42    12.1476    11.7809    12.0186     0.0959    -0.3074    -0.0362     0.7914           
  597   11.920   3053.43    12.3897    12.0225    12.2606     0.1124    -0.3074    -0.0355     0.9088           
  598   11.940   3054.49    12.8019    12.4344    12.6729     0.1220    -0.3065    -0.0343     0.9578           
  599   11.960   3055.54    13.4178    13.0503    13.2892     0.1264    -0.3059    -0.0326     0.9488           
  600   11.980   3056.71    14.4399    14.0721    14.3113     0.1084    -0.3065    -0.0303     0.7630           
  601   12.000   3057.82    15.6873    15.3187    15.5584     0.0978    -0.3070    -0.0279     0.6360           
  602   12.020   3058.93    16.8479    16.4788    16.7188     0.0980    -0.3070    -0.0259     0.5932           
  603   12.040   3060.01    17.8841    17.5148    17.7552     0.0980    -0.3072    -0.0244     0.5550           
  604   12.060   3060.94    18.4121    18.0418    18.2826     0.0870    -0.3083    -0.0238     0.4746           
  605   12.080   3062.04    18.5913    18.2207    18.4619     0.0814    -0.3080    -0.0235     0.4375           
  606   12.100   3063.13    18.2724    17.9010    18.1425     0.0774    -0.3099    -0.0240     0.4205           
  607   12.120   3064.23    17.8016    17.4288    17.6707     0.0828    -0.3120    -0.0248     0.4606           
  608   12.140   3065.26    17.3136    16.9401    17.1824     0.0843    -0.3123    -0.0256     0.4831           
  609   12.160   3066.42    16.8719    16.4981    16.7408     0.0873    -0.3120    -0.0263     0.5120           
  610   12.180   3067.43    16.4388    16.0649    16.3079     0.0936    -0.3117    -0.0270     0.5639           
  611   12.200   3068.45    16.0793    15.7049    15.9484     0.0995    -0.3121    -0.0276     0.6164           
  612   12.220   3069.38    15.6776    15.3028    15.5466     0.0998    -0.3116    -0.0284     0.6351           
  613   12.240   3070.49    15.4728    15.0980    15.3422     0.0966    -0.3107    -0.0287     0.6237           
  614   12.260   3071.60    15.5434    15.1687    15.4133     0.0900    -0.3094    -0.0285     0.5802           
  615   12.280   3072.65    15.8239    15.4494    15.6944     0.0861    -0.3081    -0.0279     0.5471           
  616   12.300   3073.81    16.0986    15.7243    15.9697     0.0833    -0.3066    -0.0274     0.5185           
  617   12.320   3074.88    16.2239    15.8495    16.0952     0.0845    -0.3062    -0.0271     0.5218           
  618   12.340   3075.98    16.6168    16.2425    16.4886     0.0910    -0.3056    -0.0264     0.5517           
  619   12.360   3076.93    16.9714    16.5969    16.8434     0.0989    -0.3046    -0.0258     0.5852           
  620   12.380   3078.02    17.2951    16.9206    17.1675     0.1083    -0.3033    -0.0253     0.6293           
  621   12.400   3079.13    17.7122    17.3378    17.5850     0.1160    -0.3024    -0.0246     0.6574           
  622   12.420   3080.15    17.9568    17.5827    17.8303     0.1222    -0.3008    -0.0242     0.6815           
  623   12.440   3081.22    18.1159    17.7420    17.9900     0.1285    -0.2992    -0.0239     0.7103           
  624   12.460   3082.27    18.2286    17.8551    18.1035     0.1338    -0.2975    -0.0237     0.7357           
  625   12.480   3083.43    18.2985    17.9254    18.1741     0.1353    -0.2953    -0.0235     0.7399           
  626   12.500   3084.52    18.3973    18.0246    18.2737     0.1350    -0.2939    -0.0233     0.7347           
  627   12.520   3085.56    18.3823    18.0100    18.2596     0.1359    -0.2916    -0.0232     0.7387           
  628   12.540   3086.60    18.2938    17.9219    18.1718     0.1382    -0.2900    -0.0232     0.7543           
  629   12.560   3087.76    18.0582    17.6869    17.9372     0.1380    -0.2875    -0.0234     0.7606           
  630   12.580   3088.88    17.6410    17.2703    17.5209     0.1344    -0.2857    -0.0238     0.7550           
  631   12.600   3089.88    17.1425    16.7718    17.0228     0.1320    -0.2841    -0.0245     0.7606           
  632   12.620   3090.88    16.6757    16.3054    16.5568     0.1328    -0.2826    -0.0251     0.7874           
  633   12.640   3091.99    16.2622    15.8924    16.1442     0.1336    -0.2801    -0.0256     0.8205           
  634   12.660   3093.06    15.9557    15.5865    15.8387     0.1327    -0.2779    -0.0260     0.8247           
  635   12.680   3094.13    15.5615    15.1929    15.4454     0.1305    -0.2756    -0.0265     0.8281           
  636   12.700   3095.07    15.1698    14.8017    15.0547     0.1279    -0.2735    -0.0271     0.8363           
  637   12.720   3096.04    14.8590    14.4914    14.7447     0.1310    -0.2714    -0.0276     0.8773           
  638   12.740   3097.08    14.6138    14.2469    14.5006     0.1295    -0.2685    -0.0279     0.8835           
  639   12.760   3098.13    14.3783    14.0123    14.2663     0.1238    -0.2654    -0.0281     0.8599           
  640   12.780   3099.26    14.3135    13.9485    14.2030     0.1113    -0.2622    -0.0280     0.7780           
  641   12.800   3100.31    14.3550    13.9909    14.2458     0.1035    -0.2589    -0.0277     0.7216           
  642   12.820   3101.42    14.5826    14.2194    14.4747     0.0916    -0.2557    -0.0271     0.6312           
  643   12.840   3102.52    14.8624    14.5002    14.7558     0.0797    -0.2538    -0.0264     0.5398           
  644   12.860   3103.57    15.1951    14.8319    15.0879     0.0715    -0.2549    -0.0259     0.4740           
  645   12.880   3104.60    15.4898    15.1260    15.3824     0.0728    -0.2563    -0.0254     0.4712           
  646   12.900   3105.65    15.7632    15.3971    15.6538     0.0736    -0.2612    -0.0253     0.4681           
  647   12.920   3106.73    16.0268    15.6606    15.9177     0.0769    -0.2594    -0.0248     0.4808           
  648   12.940   3107.76    16.1324    15.7660    16.0235     0.0825    -0.2592    -0.0247     0.5124           
  649   12.960   3108.88    16.2416    15.8748    16.1327     0.0914    -0.2594    -0.0245     0.5651           
  650   12.980   3109.95    16.3350    15.9680    16.2263     0.0972    -0.2582    -0.0243     0.5958           
  651   13.000   3111.10    16.4063    16.0396    16.2983     0.1011    -0.2567    -0.0241     0.6192           
  652   13.020   3112.15    16.3709    16.0046    16.2636     0.1039    -0.2548    -0.0241     0.6340           
  653   13.040   3113.13    16.4193    16.0535    16.3129     0.1066    -0.2527    -0.0239     0.6500           
  654   13.060   3114.07    16.5569    16.1917    16.4515     0.1076    -0.2503    -0.0236     0.6504           
  655   13.080   3115.18    16.8009    16.4366    16.6967     0.1101    -0.2471    -0.0230     0.6565           
  656   13.100   3116.22    16.9463    16.5823    16.8429     0.1126    -0.2451    -0.0227     0.6651           
  657   13.120   3117.27    16.9806    16.6176    16.8785     0.1160    -0.2429    -0.0225     0.6834           
  658   13.140   3118.44    16.9442    16.5819    16.8432     0.1189    -0.2390    -0.0224     0.7011           
  659   13.160   3119.52    16.9532    16.5916    16.8533     0.1217    -0.2373    -0.0223     0.7169           
  660   13.180   3120.60    16.8635    16.5026    16.7646     0.1284    -0.2348    -0.0223     0.7604           
  661   13.200   3121.57    16.7064    16.3465    16.6090     0.1311    -0.2305    -0.0223     0.7837           
  662   13.220   3122.63    16.6247    16.2660    16.5289     0.1318    -0.2272    -0.0222     0.7928           
  663   13.240   3123.69    16.6175    16.2599    16.5231     0.1296    -0.2234    -0.0220     0.7799           
  664   13.260   3124.72    16.5845    16.2279    16.4915     0.1271    -0.2200    -0.0218     0.7663           
  665   13.280   3125.82    16.5898    16.2347    16.4987     0.1246    -0.2165    -0.0215     0.7515           
  666   13.300   3126.97    16.4682    16.1138    16.3782     0.1215    -0.2128    -0.0215     0.7368           
  667   13.320   3128.04    16.4256    16.0726    16.3374     0.1179    -0.2082    -0.0214     0.7172           
  668   13.340   3129.10    16.4299    16.0780    16.3431     0.1143    -0.2051    -0.0211     0.6956           
  669   13.360   3130.15    16.5197    16.1693    16.4348     0.1146    -0.2011    -0.0208     0.6946           
  670   13.380   3131.23    16.5684    16.2187    16.4845     0.1154    -0.1985    -0.0206     0.6966           
  671   13.400   3132.26    16.6525    16.3038    16.5701     0.1195    -0.1950    -0.0202     0.7185           
  672   13.420   3133.28    16.7047    16.3568    16.6235     0.1223    -0.1919    -0.0200     0.7325           
  673   13.440   3134.32    16.6304    16.2836    16.5506     0.1244    -0.1884    -0.0199     0.7467           
  674   13.460   3135.43    16.4913    16.1455    16.4129     0.1270    -0.1858    -0.0199     0.7673           
  675   13.480   3136.54    16.1662    15.8217    16.0895     0.1280    -0.1820    -0.0201     0.7867           
  676   13.500   3137.65    15.9128    15.5696    15.8377     0.1284    -0.1775    -0.0201     0.8023           
  677   13.520   3138.69    15.6965    15.3542    15.6227     0.1258    -0.1743    -0.0202     0.7983           
  678   13.540   3139.65    15.6344    15.2935    15.5624     0.1231    -0.1702    -0.0201     0.7867           
  679   13.560   3140.72    15.6572    15.3177    15.5870     0.1215    -0.1655    -0.0198     0.7765           
  680   13.580   3141.76    15.7056    15.3678    15.6375     0.1185    -0.1606    -0.0194     0.7548           
  681   13.600   3142.88    15.6233    15.2873    15.5573     0.1154    -0.1571    -0.0192     0.7362           
  682   13.620   3143.93    15.5428    15.2075    15.4779     0.1121    -0.1528    -0.0191     0.7195           
  683   13.640   3145.06    15.3004    14.9668    15.2376     0.1100    -0.1481    -0.0191     0.7157           
  684   13.660   3146.13    15.1501    14.8177    15.0889     0.1077    -0.1455    -0.0191     0.7088           
  685   13.680   3147.17    14.9988    14.6662    14.9377     0.1050    -0.1456    -0.0192     0.6999           
  686   13.700   3148.18    14.9786    14.6463    14.9183     0.0995    -0.1433    -0.0192     0.6650           
  687   13.720   3149.19    15.0220    14.6897    14.9620     0.0950    -0.1431    -0.0191     0.6327           
  688   13.740   3150.22    15.0796    14.7465    15.0192     0.0937    -0.1429    -0.0191     0.6222           
  689   13.760   3151.32    15.1524    14.8199    15.0930     0.0921    -0.1410    -0.0188     0.6087           
  690   13.780   3152.44    15.2397    14.9065    15.1800     0.0891    -0.1445    -0.0188     0.5855           
  691   13.800   3153.54    15.3782    15.0415    15.3153     0.0892    -0.1528    -0.0191     0.5814           
  692   13.820   3154.65    15.4849    15.1470    15.4213     0.0946    -0.1515    -0.0191     0.6115           
  693   13.840   3155.76    15.7475    15.4093    15.6840     0.0999    -0.1499    -0.0188     0.6400           
  694   13.860   3156.82    16.1768    15.8388    16.1137     0.1038    -0.1521    -0.0182     0.6483           
  695   13.880   3157.82    16.6490    16.3074    16.5828     0.1077    -0.1571    -0.0182     0.6525           
  696   13.900   3158.88    17.1684    16.8287    17.1045     0.1133    -0.1503    -0.0173     0.6643           
  697   13.920   3159.88    17.7290    17.3913    17.6674     0.1205    -0.1447    -0.0164     0.6842           
  698   13.940   3160.93    18.1688    17.8321    18.1086     0.1268    -0.1422    -0.0158     0.7016           
  699   13.960   3161.99    18.4556    18.1197    18.3966     0.1319    -0.1388    -0.0155     0.7182           
  700   13.980   3163.13    18.7863    18.4530    18.7303     0.1389    -0.1323    -0.0148     0.7440           
  701   14.000   3164.21    19.1610    18.8292    19.1068     0.1467    -0.1272    -0.0143     0.7711           
  702   14.020   3165.24    19.5206    19.1906    19.4687     0.1545    -0.1214    -0.0138     0.7957           
  703   14.040   3166.24    19.8454    19.5177    19.7961     0.1609    -0.1151    -0.0132     0.8132           
  704   14.060   3167.27    20.0582    19.7324    20.0112     0.1673    -0.1106    -0.0128     0.8353           
  705   14.080   3168.32    20.1650    19.8413    20.1204     0.1718    -0.1032    -0.0124     0.8526           
  706   14.100   3169.38    20.1923    19.8711    20.1507     0.1766    -0.0959    -0.0121     0.8750           
  707   14.120   3170.49    20.2282    19.9094    20.1894     0.1812    -0.0902    -0.0117     0.8961           
  708   14.140   3171.56    20.2723    19.9558    20.2361     0.1862    -0.0836    -0.0114     0.9192           
  709   14.160   3172.71    20.3448    20.0310    20.3117     0.1895    -0.0765    -0.0110     0.9325           
  710   14.180   3173.72    20.4266    20.1153    20.3963     0.1931    -0.0694    -0.0106     0.9467           
  711   14.200   3174.77    20.4539    20.1449    20.4264     0.1958    -0.0633    -0.0103     0.9574           
  712   14.220   3175.82    20.4581    20.1522    20.4341     0.1983    -0.0546    -0.0099     0.9696           
  713   14.240   3176.88    20.3345    20.0306    20.3128     0.2006    -0.0492    -0.0097     0.9852           
  714   14.260   3177.93    20.1751    19.8735    20.1561     0.2023    -0.0424    -0.0095     1.0016           
  715   14.280   3179.02    19.9902    19.6908    19.9737     0.2016    -0.0364    -0.0092     1.0068           
  716   14.300   3180.13    19.8137    19.5160    19.7993     0.2015    -0.0322    -0.0091     1.0148           
  717   14.320   3181.19    19.6409    19.3449    19.6286     0.2002    -0.0274    -0.0089     1.0176           
  718   14.340   3182.27    19.5380    19.2437    19.5278     0.1999    -0.0221    -0.0087     1.0215           
  719   14.360   3183.32    19.5063    19.2137    19.4982     0.1998    -0.0172    -0.0085     1.0237           
  720   14.380   3184.38    19.4583    19.1679    19.4528     0.1993    -0.0124    -0.0082     1.0235           
  721   14.400   3185.43    19.3308    19.0422    19.3275     0.1983    -0.0082    -0.0080     1.0247           
  722   14.420   3186.49    19.1090    18.8207    19.1063     0.1967    -0.0056    -0.0080     1.0271           
  723   14.440   3187.54    18.7626    18.4745    18.7605     0.1940    -0.0039    -0.0081     1.0289           
  724   14.460   3188.65    18.3169    18.0295    18.3159     0.1902    -0.0016    -0.0082     1.0312           
  725   14.480   3189.75    17.7944    17.5076    17.7944     0.1848     0.0006    -0.0083     1.0282           
  726   14.500   3190.88    17.3112    17.0241    17.3112     0.1775     0.0007    -0.0085     1.0153           
  727   14.520   3191.88    16.8801    16.5943    16.8818     0.1686     0.0043    -0.0085     0.9908           
  728   14.540   3192.92    16.4471    16.1612    16.4491     0.1578     0.0057    -0.0087     0.9539           
  729   14.560   3193.93    15.9998    15.7137    16.0020     0.1510     0.0050    -0.0089     0.9390           
  730   14.580   3194.97    15.5727    15.2870    15.5756     0.1417     0.0045    -0.0091     0.9062           
  731   14.600   3196.04    15.1896    14.9020    15.1910     0.1351     0.0038    -0.0096     0.8849           
  732   14.620   3197.13    14.8442    14.5559    14.8454     0.1290     0.0027    -0.0099     0.8645           
  733   14.640   3198.26    14.5471    14.2590    14.5488     0.1245     0.0060    -0.0100     0.8534           
  734   14.660   3199.28    14.4613    14.1734    14.4635     0.1206     0.0062    -0.0100     0.8338           
  735   14.680   3200.38    14.5298    14.2419    14.5325     0.1167     0.0057    -0.0099     0.8049           
  736   14.700   3201.38    14.6496    14.3597    14.6506     0.1157    -0.0011    -0.0101     0.7910           
  737   14.720   3202.43    14.7704    14.4785    14.7699     0.1231    -0.0047    -0.0103     0.8343           
  738   14.740   3203.44    15.0213    14.7263    15.0180     0.1295    -0.0069    -0.0105     0.8641           
  739   14.760   3204.54    15.5454    15.2509    15.5430     0.1151    -0.0052    -0.0101     0.7461           
  740   14.780   3205.63    16.4056    16.1111    16.4036     0.0964    -0.0063    -0.0095     0.5952           
  741   14.800   3206.76    17.6866    17.3850    17.6779     0.0856    -0.0272    -0.0097     0.4914           
  742   14.820   3207.88    18.8075    18.4850    18.7782     0.0814    -0.0897    -0.0118     0.4396           
  743   14.840   3208.92    19.5738    19.2360    19.5296     0.0857    -0.1045    -0.0132     0.4430           
  744   14.860   3209.97    20.1831    19.8356    20.1296     0.0906    -0.1309    -0.0139     0.4510           
  745   14.880   3211.02    20.4902    20.1413    20.4356     0.0987    -0.1300    -0.0138     0.4825           
  746   14.900   3212.10    20.8010    20.4513    20.7461     0.1056    -0.1314    -0.0137     0.5092           
  747   14.920   3213.13    21.3678    21.0176    21.3128     0.1113    -0.1314    -0.0133     0.5231           
  748   14.940   3214.21    21.8263    21.4778    21.7733     0.1152    -0.1252    -0.0128     0.5295           
  749   14.960   3215.27    21.8026    21.4530    21.7489     0.1206    -0.1285    -0.0129     0.5520           
  750   14.980   3216.43    21.5298    21.1803    21.4766     0.1222    -0.1258    -0.0131     0.5646           
  751   15.000   3217.49    21.1736    20.8251    21.1218     0.1182    -0.1215    -0.0131     0.5557           
  752   15.020   3218.57    20.9875    20.6402    20.9373     0.1197    -0.1163    -0.0131     0.5690           
  753   15.040   3219.54    20.8462    20.5004    20.7978     0.1215    -0.1143    -0.0130     0.5816           
  754   15.060   3220.57    20.7626    20.4173    20.7151     0.1243    -0.1129    -0.0129     0.5986           
  755   15.080   3221.60    20.7865    20.4419    20.7401     0.1271    -0.1104    -0.0128     0.6116           
  756   15.100   3222.71    20.6780    20.3329    20.6315     0.1288    -0.1092    -0.0129     0.6215           
  757   15.120   3223.76    20.6010    20.2579    20.5568     0.1327    -0.1030    -0.0127     0.6437           
  758   15.140   3224.92    20.4651    20.1242    20.4235     0.1376    -0.0971    -0.0124     0.6713           
  759   15.160   3225.99    20.2784    19.9394    20.2391     0.1420    -0.0927    -0.0123     0.6981           
  760   15.180   3227.01    20.0807    19.7432    20.0433     0.1440    -0.0869    -0.0122     0.7157           
  761   15.200   3227.99    20.0635    19.7276    20.0281     0.1424    -0.0816    -0.0120     0.7102           
  762   15.220   3229.07    20.2086    19.8760    20.1769     0.1410    -0.0726    -0.0115     0.6980           
  763   15.240   3230.15    20.2620    19.9342    20.2354     0.1411    -0.0604    -0.0108     0.6969           
  764   15.260   3231.22    20.3429    20.0171    20.3187     0.1411    -0.0554    -0.0105     0.6939           
  765   15.280   3232.32    20.3829    20.0604    20.3624     0.1393    -0.0468    -0.0101     0.6836           
  766   15.300   3233.38    20.2227    19.9026    20.2049     0.1399    -0.0394    -0.0098     0.6896           
  767   15.320   3234.54    19.6392    19.3222    19.6250     0.1512    -0.0303    -0.0097     0.7603           
  768   15.340   3235.60    18.9243    18.6099    18.9130     0.1761    -0.0272    -0.0097     0.9166           
  769   15.360   3236.63    17.9092    17.5939    17.8974     0.2197    -0.0279    -0.0103     1.1990           
  770   15.380   3237.65    16.2594    15.9440    16.2479     0.2751    -0.0267    -0.0114     1.6215           
  771   15.400   3238.71    13.6212    13.3068    13.6110     0.3123    -0.0227    -0.0134     2.1411           
  772   15.420   3239.68    10.9311    10.6171    10.9217     0.3182    -0.0211    -0.0167     2.7063           
