

 Program UNIPLOT                         version 05.29.00
 _______________
 (c) Fugro Engineers B.V., Nootdorp, The Netherlands


 ASCII representation of data plotted on a graph.

 This ASCII file presents data interpolated to values per fixed depth interval.
 The data are corrected for the depth-offset differences between the various 
 transducers in the penetrometer.

 The records at the start of penetration may include no values or anomalous
 values where a depth offset implies incomplete penetration of a particular
 sensor into the ground.

 The records at the end of penetration may include no values for data channels
 where the transducer did not reach this depth.

 UNICAS data file          : CPT_WFS1_01.000                         
 Output using command file : Qc+Qt+Qn+Fs+U2+Rf+Bq_Seafloor.ucf

 ASCII file created at : date          :03-Jul-2015
                         time          :13:19:13
 Project number                        :N6016/02 (2)                                                                                        
 Date of testing                       :10-May-2015                                                                                         
 Location                              :CPT_WFS1_1                                                                                          
 Test name                             :CPT_WFS1_1
 Penetrometer                          :CP15-CF75PB20SN2
 Serial no                             :1701-2483

 Table description:
 Column id                             :Parameter name
 ___________________________________________________________________________________
 Rec                                   :Record ID, Record ID [-]
 Depth                                 :Depth, Depth [m]
 Time                                  :Time, Time [s]
 Cone                                  :Cone Resistance, Cone Resistance [MPa]
 Qnet-                                 :Net Cone Resistance, Net Cone Resistance [MPa], unit weight as specified in ground model
 qt                                    :Total Cone Resistance, Total Cone Resistance [MPa]
 Friction                              :Sleeve Friction, Sleeve Friction [MPa]
 Pore 2                                :Porewater Pressure, Porewater Pressure at Shoulder [MPa]
 Bq                                    :Porewater Pressure Ratio, Porewater Pressure Ratio [-], unit weight as specified in ground model
 Fric_ratio                            :Friction Ratio, Friction Ratio [%]


 Data table:
  Rec    Depth      Time       Cone      Qnet-         qt   Friction     Pore 2         Bq Fric_ratio           
   No        m         s        MPa        MPa        MPa        MPa        MPa          -          %           
  184    3.660   2183.29    11.5630    11.5072    11.5804     0.0933     0.0416     0.0004     0.8069           
  185    3.680   2184.26    11.5886    11.5327    11.6063     0.0939     0.0420     0.0005     0.8108           
  186    3.700   2185.30    11.5835    11.5271    11.6011     0.0947     0.0420     0.0004     0.8170           
  187    3.720   2186.43    11.5002    11.4434    11.5178     0.0953     0.0419     0.0004     0.8265           
  188    3.740   2187.50    11.3090    11.2520    11.3268     0.0951     0.0422     0.0004     0.8378           
  189    3.760   2188.38    11.0992    11.0418    11.1170     0.0943     0.0422     0.0004     0.8454           
  190    3.780   2189.49    10.8206    10.7627    10.8383     0.0933     0.0425     0.0004     0.8553           
  191    3.800   2190.60    10.4605    10.4025    10.4785     0.0922     0.0428     0.0005     0.8713           
  192    3.820   2191.71    10.0160     9.9577    10.0341     0.0910     0.0434     0.0005     0.8934           
  193    3.840   2192.76     9.5725     9.5139     9.5907     0.0891     0.0433     0.0005     0.9147           
  194    3.860   2193.77     9.1232     9.0643     9.1415     0.0864     0.0439     0.0006     0.9317           
  195    3.880   2194.82     8.6694     8.6104     8.6880     0.0824     0.0442     0.0006     0.9382           
  196    3.900   2195.82     8.3111     8.2514     8.3294     0.0784     0.0435     0.0005     0.9342           
  197    3.920   2196.88     7.9748     7.9149     7.9933     0.0740     0.0440     0.0006     0.9189           
  198    3.940   2198.04     7.6345     7.5742     7.6530     0.0714     0.0443     0.0006     0.9213           
  199    3.960   2199.11     7.3195     7.2590     7.3382     0.0690     0.0446     0.0007     0.9281           
  200    3.980   2200.15     7.0652     7.0045     7.0841     0.0667     0.0449     0.0007     0.9294           
  201    4.000   2201.29     6.8028     6.7418     6.8218     0.0639     0.0453     0.0008     0.9306           
  202    4.020   2202.21     6.4996     6.4383     6.5187     0.0596     0.0456     0.0008     0.8956           
  203    4.040   2203.19     6.0676     6.0058     6.0866     0.0544     0.0449     0.0008     0.8784           
  204    4.060   2204.21     5.5525     5.4895     5.5707     0.0501     0.0430     0.0005     0.8799           
  205    4.080   2205.21     5.1131     5.0497     5.1313     0.0446     0.0431     0.0005     0.8533           
  206    4.100   2206.36     4.5978     4.5339     4.6159     0.0393     0.0435     0.0005     0.8276           
  207    4.120   2207.50     4.1105     4.0467     4.1291     0.0344     0.0438     0.0008     0.8050           
  208    4.140   2208.44     3.6131     3.5490     3.6318     0.0285     0.0449     0.0009     0.7483           
  209    4.160   2209.52     3.3300     3.2656     3.3488     0.0231     0.0453     0.0010     0.6754           
  210    4.180   2210.64     3.1417     3.0773     3.1609     0.0191     0.0459     0.0012     0.5942           
  211    4.200   2211.63     3.1084     3.0436     3.1276     0.0179     0.0456     0.0012     0.5747           
  212    4.220   2212.65     3.0883     3.0232     3.1076     0.0181     0.0457     0.0012     0.5868           
  213    4.240   2213.63     3.1802     3.1135     3.1983     0.0251     0.0456     0.0002     0.7741           
  214    4.260   2214.73     3.3569     3.2912     3.3764     0.0253     0.0469     0.0011     0.7652           
  215    4.280   2215.77     3.8517     3.7847     3.8703     0.0285     0.0430     0.0004     0.7870           
  216    4.300   2216.88     4.3776     4.3104     4.3964     0.0300     0.0450     0.0004     0.6824           
  217    4.320   2217.93     4.4593     4.3918     4.4782     0.0324     0.0352     0.0004     0.7398           
  218    4.340   2219.01     4.3514     4.2859     4.3727     0.0348     0.0464     0.0017     0.7972           
  219    4.360   2219.98     4.4674     4.3992     4.4864     0.0351     0.0451     0.0003     0.7896           
  220    4.380   2221.02     4.4832     4.4128     4.5005     0.0324     0.0457    -0.0006     0.7254           
  221    4.400   2222.04     4.6271     4.5607     4.6487     0.0336     0.0517     0.0016     0.7288           
  222    4.420   2247.13     4.7780     4.7114     4.7998     0.0347     0.0520     0.0016     0.7371           
  223    4.440   2282.50     4.8712     4.8043     4.8932     0.0361     0.0523     0.0016     0.7661           
  224    4.460   2317.88     4.9645     4.8972     4.9865     0.0396     0.0527     0.0016     0.8233           
  225    4.480   2319.00     5.3273     5.2593     5.3490     0.0414     0.0514     0.0013     0.7970           
  226    4.500   2320.15     5.6783     5.6097     5.6998     0.0440     0.0508     0.0011     0.7960           
  227    4.520   2321.15     6.0371     5.9680     6.0585     0.0468     0.0511     0.0010     0.7946           
  228    4.540   2322.13     6.3283     6.2586     6.3495     0.0494     0.0506     0.0008     0.7894           
  229    4.560   2323.15     6.5851     6.5151     6.6064     0.0513     0.0507     0.0008     0.7848           
  230    4.580   2324.18     6.8162     6.7458     6.8376     0.0543     0.0510     0.0008     0.8040           
  231    4.600   2325.26     7.0698     6.9992     7.0913     0.0571     0.0512     0.0008     0.8166           
  232    4.620   2326.32     7.3609     7.2902     7.3827     0.0604     0.0519     0.0008     0.8323           
  233    4.640   2327.43     7.7178     7.6466     7.7396     0.0628     0.0520     0.0007     0.8281           
  234    4.660   2328.49     8.0588     7.9874     8.0807     0.0646     0.0524     0.0007     0.8162           
  235    4.680   2329.56     8.3443     8.2725     8.3663     0.0653     0.0522     0.0007     0.7929           
  236    4.700   2330.56     8.5835     8.5113     8.6055     0.0656     0.0523     0.0006     0.7700           
  237    4.720   2331.54     8.7851     8.7125     8.8071     0.0654     0.0525     0.0006     0.7487           
