Load step time [s],Load step settlement [mm]
643.001341,-0.29600000000000115
703.001432,-0.30000000000000077
763.001661,-0.30400000000000027
823.0025049999999,-0.30799999999999983
883.003076,-0.31099999999999994
943.004431,-0.3150000000000013
1003.004813,-0.31700000000000017
1063.004867,-0.32000000000000023
1123.0063670000002,-0.32200000000000095
1183.007202,-0.32399999999999984
1243.0082810000001,-0.32600000000000057
1303.008618,-0.3280000000000011
1363.0091220000002,-0.33000000000000007
1423.0103760000002,-0.33100000000000124
1483.010547,-0.33300000000000013
1543.011898,-0.33399999999999963
1603.0117480000001,-0.33500000000000085
1663.012611,-0.33699999999999974
1723.0138840000002,-0.33800000000000097
1783.014283,-0.33900000000000047
4063.037112,-0.36500000000000027
7663.069391999999,-0.38300000000000084
11263.097945,-0.3930000000000006
14863.123835,-0.40000000000000036
